code	district_n	sunni_2005	sunni_2009	sunni_2013	shia_2005	shia_2009	shia_2013	druze_2005	druze_2009	druze_2013	evang_2005	evang_2009	evang_2013	alawite_2005	alawite_2009	alawite_2013	grkorth_2005	grkorth_2009	grkorth_2013	maronite_2005	maronite_2009	maronite_2013	grkcth_2005	grkcth_2009	grkcth_2013	minorities_2005	minorities_2009	minorities_2013	armorth_2005	armorth_2009	armorth_2013	armcth_2005	armcth_2009	armcth_2013	total_2005	total_2009	total_2013	sunni_diff_1	sunni_diff_2	shia_diff_1	shia_diff_2	druze_diff_1	druze_diff_2	evang_diff_1	evang_diff_2	alawite_diff_1	alawite_diff_2	grkorth_diff_1	grkorth_diff_2	maronite_diff_1	maronite_diff_2	grkcth_diff_1	grkcth_diff_2	minorities_diff_1	minorities_diff_2	armorth_diff_1	armorth_diff_2	armcth_diff_1	armcth_diff_2	armorth_2014	armcth_2014	evang_2014	druze_2014	grkorth_2014	grkcth_2014	sunni_2014	shia_2014	alawite_2014	maronite_2014	minorities_2014	total_2014	armorth_diff_3	armcth_diff_3	evang_diff_3	druze_diff_3	grkorth_diff_3	grkcth_diff_3	sunni_diff_3	shia_diff_3	alawite_diff_3	maronite_diff_3	minorities_diff_3	sunni_2015	shia_2015	alawite_2015	druze_2015	grkorth_2015	grkcth_2015	maronite_2015	armorth_2015	armcth_2015	evang_2015	minorities_2015	total_2015	armorth_diff_4	armcth_diff_4	evang_diff_4	druze_diff_4	grkorth_diff_4	grkcth_diff_4	sunni_diff_4	shia_diff_4	alawite_diff_4	maronite_diff_4	minorities_diff_4	sunni_2016	shia_2016	alawite_2016	druze_2016	grkorth_2016	grkcth_2016	maronite_2016	armorth_2016	armcth_2016	evang_2016	minorities_2016	total_2016	armorth_diff_5	armcth_diff_5	evang_diff_5	druze_diff_5	grkorth_diff_5	grkcth_diff_5	sunni_diff_5	shia_diff_5	alawite_diff_5	maronite_diff_5	minorities_diff_5	sunni_2017	shia_2017	alawite_2017	druze_2017	grkorth_2017	grkcth_2017	maronite_2017	armorth_2017	armcth_2017	evang_2017	minorities_2017	total_2017	armorth_diff_6	armcth_diff_6	evang_diff_6	druze_diff_6	grkorth_diff_6	grkcth_diff_6	sunni_diff_6	shia_diff_6	alawite_diff_6	maronite_diff_6	minorities_diff_6	armorth_diff_7	armcth_diff_7	evang_diff_7	druze_diff_7	grkorth_diff_7	grkcth_diff_7	sunni_diff_7	shia_diff_7	alawite_diff_7	maronite_diff_7	minorities_diff_7
13	Chouf	46755	51417	53821	3470	3831	5541	51191	58057	59110	597	653	728	0	0	8	927	822	2996	50727	54056	52373	11893	12791	12313	123	142	1876	43	47	228	48	50	145	165774	181866	189139	0.067853536	0.1838772857	0.0132847522	0.8230954729	1.0429610192	-0.6708063718	-0.0010732817	0.0258465406	0	0.0042296935	-0.1072139197	1.132039089	-0.8771112485	-2.0327656079	-0.1410248816	-0.5231732512	0.0038820638	0.913783662	-9.57256656570452E-005	0.0947030617	-0.001462314	0.0491704254	234	149	740	59962	3030	12403	54834	5634	9	52897	1668	191560	0.0016086735	0.0011192232	0.0013998329	0.0497940591	-0.0022703745	-0.0352932523	0.1691821263	0.0115235909	0.0004685734	-0.0764147837	-0.1211176688	55917	5730	9	60644	3084	12483	53274	238	150	747	1944	194220	0.0003865094	-0.0005504131	-0.0016865573	-0.07755723	0.0061401782	-0.04748631	0.1655729	0.0091475335	-6.43465649868376E-005	-0.18408359	0.13018133	56992	5861	10	61429	3132	12552	53793	240	154	745	1984	196892	-0.000647	0.000983	-0.006235	-0.025047	0.00283	-0.052179	0.155271	0.026496	0.000445	-0.108649	0.006732	58150	5982	10	62114	3181	12645	54341	245	155	748	1994	199565	0.000873	-0.000547	-0.003565	-0.074641	0.003247	-0.038787	0.192558	0.020761	-0.000068	-0.091345	-0.008486	0.002221	0.001006	-0.010087	-0.127452	0.009947	-0.173746	0.682584	0.067928	0.000781	-0.460493	0.00731
16	Matn	2643	2836	3438	3935	4417	4857	2118	2240	2277	2570	1164	1026	182	199	191	23545	24860	25501	72300	76187	75706	15578	16631	17185	7202	7744	11369	25525	25819	25410	7037	8591	6373	162635	170688	173333	0.0363996152	0.3219542917	0.1682340754	0.2143583061	0.0100332556	0.0013204144	-0.8982796519	-0.0900217915	0.004679958	-0.0063944695	0.0873821228	0.1475580004	0.1798653732	-0.9586184523	0.1650046119	0.1709335192	0.1086117963	2.0221181917	-0.5682241635	-0.4667859326	0.7062930069	-1.3564220776	25442	6381	1048	2287	25669	17339	3534	4965	186	76276	9385	172512	0.088315986	0.022135282	0.0155697562	0.0120485061	0.1674009342	0.136452867	0.0650877913	0.0759398833	-0.0023739331	0.5382727407	-1.1188498137	3634	5122	188	2317	25824	17454	76821	25391	6355	1072	11621	175799	-0.30476023	-0.08394926	0.0022933425	-0.0077224099	-0.19004126	-0.12251089	0.01858034	0.03549403	-0.000878274	-0.51669441	1.17018901	3727	5235	191	2340	26037	17664	77552	25325	6309	1080	11687	177147	-0.147163	-0.053475	-0.000124	0.002954	0.008459	0.042996	0.036769	0.041618	0.00088	0.08013	-0.013045	3785	5391	186	2360	26214	17808	78020	25281	6336	1106	11778	178265	-0.114341	-0.00719	0.010761	0.002935	0.007111	0.018242	0.019341	0.068977	-0.003481	-0.012028	0.009672	-0.477948	-0.122479	0.0285	0.010215	-0.00707	0.07518	0.139778	0.222029	-0.005853	0.089681	0.047967
12	Baabda	7908	8728	9959	31969	35414	37487	23671	25963	27068	490	488	626	10	12	19	11073	11460	12399	54889	57280	55357	7447	7721	8587	2180	2352	3650	1442	1451	1585	705	705	765	141784	151574	157502	0.180745332	0.5648508117	0.8164871998	0.4368022486	0.4338134306	0.0568863888	-0.0236411653	0.0755003177	0.0008639431	0.0041464138	-0.2491035312	0.3116175486	-0.9229905876	-2.6432670385	-0.1584741596	0.358112724	0.0141672368	0.7657135768	-0.0597518152	0.0490482382	-0.0321158834	0.0205887703	1592	765	636	27373	12441	8632	10155	38124	19	55546	2929	158212	-0.000091642	-0.0021796878	0.0045369931	0.1156554016	-0.0087813788	0.0039762096	0.0955085774	0.2958139269	-0.000054136	-0.0382668018	-0.4661174622	10403	38839	20	27701	12505	8638	55854	1600	768	640	3761	160729	-0.01078037	-0.0057055109	-0.0038065	-0.06686906	-0.08332304	-0.08170696	0.05378231	0.06749498	0.0004341023	-0.35817007	0.48865011	10664	39675	19	28018	12605	8676	56115	1599	761	647	3806	162585	-0.011979	-0.00976	-0.00024	-0.001768	-0.027309	-0.037978	0.086645	0.238344	-0.000757	-0.236164	0.000966	10876	40399	19	28307	12683	8744	56356	1594	759	648	3837	164222	-0.012848	-0.005884	-0.003358	0.004201	-0.029786	-0.011786	0.063712	0.197616	-0.000116	-0.197293	-0.004458	-0.035699	-0.023529	-0.002867	0.051219	-0.149199	-0.127494	0.299648	0.799269	-0.000494	-0.829894	0.01904
14	Jbeil	1660	1894	2558	13200	14625	15289	0	0	8	76	107	134	10	4	8	2389	2536	3560	51508	54581	52719	439	501	1460	159	179	1014	1006	1041	1034	43	44	116	70490	75512	77900	0.1532666518	0.775486432	0.64172217	0.2586615551	0	0.0102695764	0.033882621	0.0303160718	-0.0088892381	0.0049724051	-0.0307265995	1.2115548782	-0.7901308145	-4.6060021779	0.0406873331	1.2107269827	0.0114845064	1.06462039	-0.0485639541	-0.0512460865	-0.0027326761	0.0906399731	1034	120	138	10	3597	1482	2630	15588	7	53174	876	78656	-0.0127577186	0.0036542019	0.0034321139	0.0024440119	0.0031162164	0.0099560942	0.059976671	0.1914972566	-0.0013700646	-0.0719903101	-0.1879584726	2683	15858	7	11	3625	1503	53621	1025	124	139	1059	79655	-0.02778571	0.0031082732	-0.0009449761	0.0010959654	-0.02220205	0.0027334175	0.02460197	0.09041336	-0.000111614	-0.2866817	0.21577306	2734	16177	8	10	3665	1518	54175	1012	124	144	1067	80634	-0.031746	-0.00189	0.004082	-0.001408	-0.005647	-0.004307	0.022354	0.153902	0.001133	-0.130254	-0.00622	2771	16500	8	11	3703	1547	54606	997	123	145	1083	81494	-0.031651	-0.00285	-0.000658	0.001096	-0.001336	0.015719	0.009621	0.184633	-0.000105	-0.180139	0.005669	-0.10394	0.002022	0.005912	0.003228	-0.026069	0.024102	0.116553	0.620445	-0.000453	-0.669065	0.027263
11	Aley	1374	1559	2329	3140	3481	3908	56599	61339	64106	896	852	891	0	0	6	14694	15154	14404	27461	28418	28158	3760	3888	4603	558	616	1798	675	648	833	114	174	188	109271	116129	121224	0.0850483929	0.5787641237	0.1239390945	0.2262554587	1.0228005132	0.0625584212	-0.0863128131	0.0013360992	0	0.0049495149	-0.3980193451	-1.1671458519	-0.6600337291	-1.2429887043	-0.092985242	0.4491019539	0.0197876014	0.9527600542	-0.0597300753	0.1291575035	0.0455056027	0.0052514267	836	191	892	64913	14431	4641	2395	3978	6	28278	1438	121999	-0.0019061401	0.0014738586	-0.0038494357	0.325545641	-0.0533500689	0.0070266581	0.0418941265	0.0368983954	-3.14418485753142E-005	-0.0491951334	-0.3045064599	2471	4069	6	65738	14509	4678	28437	838	192	890	1805	123633	-0.0074389603	-0.0012603176	-0.01128101	-0.03592541	-0.09324562	-0.02035013	0.03552647	0.03051002	-6.49998903504752E-005	-0.17773804	0.281268	2521	4163	6	66419	14551	4691	28565	844	191	889	1804	124644	-0.000684	-0.002062	-0.006641	0.115074	-0.061492	-0.020261	0.023903	0.04872	-0.000039	-0.083872	-0.012644	2599	4254	6	67248	14595	4718	28640	841	190	892	1816	125799	-0.008602	-0.002202	-0.004164	0.169743	-0.072207	-0.013091	0.043434	0.041673	-0.000044	-0.150792	-0.003749	-0.018631	-0.00405	-0.025935	0.574437	-0.280295	-0.046676	0.144757	0.157801	-0.00018	-0.461597	-0.039632
15	Kesrwan	239	330	506	1302	1465	1575	3	5	26	125	102	190	8	9	9	993	1126	3342	77356	79221	75115	2820	3041	4580	1287	1420	2852	1509	1519	1589	662	745	791	86304	88983	90575	0.0939292866	0.1877956952	0.1377612035	0.0925085291	0.0021429663	0.0230864419	-0.0302082188	0.0951422712	0.0008447327	-0.0001777748	0.1148262647	2.4243496206	-0.6026333572	-6.0980927335	0.1499872487	1.6390762275	0.1045701687	1.5529613004	-0.0414028807	0.0472795839	0.0701825855	0.0360708384	1591	795	197	27	3404	4620	526	1622	8	75628	2296	90714	-0.0004834344	0.0030713009	0.0073951302	0.0010583806	0.0626928961	0.0363464842	0.021191296	0.0491467054	-0.0011175913	0.4384389745	-0.6177401423	544	1650	8	29	3435	4684	76114	1577	786	202	2964	91993	-0.03960292	-0.02196788	0.0024158864	0.0017602644	-0.018473	-0.0012376674	0.011505	0.0055776	-0.0001226116	-0.63080735	0.69095269	547	1681	8	30	3497	4722	76840	1583	782	205	2970	92865	-0.009636	-0.01233	0.001169	0.000781	0.031702	-0.006891	-0.002322	0.01654	-0.000082	0.004864	-0.023793	556	1715	8	29	3548	4765	77347	1575	780	209	3008	93540	-0.020853	-0.008215	0.002683	-0.001302	0.027348	0.009277	0.005371	0.023286	-0.000062	-0.055079	0.017546	-0.070576	-0.039442	0.013663	0.002297	0.10327	0.037494	0.035745	0.09455	-0.001384	-0.242583	0.066965
24	Jezzine	910	960	1370	9720	10828	11390	443	506	541	24	19	150	0	0	5	89	91	1418	32176	33483	32331	7948	8219	8313	42	39	793	30	26	122	15	16	81	51397	54187	56514	0.0011112909	0.6525354349	1.0710430387	0.1716453843	0.0718853	0.0234816098	-0.0116315717	0.230357197	0	0.0088473653	-0.0052248986	2.3411758272	-0.8113020296	-4.5827404152	-0.2960928979	-0.4582152137	-0.0097438493	1.3312191469	-0.0103871772	0.1678937239	0.0003427947	0.1137999397	127	83	153	548	1427	8378	1387	11602	5	32532	683	56925	0.0072248587	0.0024785678	0.0033537459	0.0053852595	-0.0023055838	0.0079814192	0.0123612263	0.2269052877	-6.38782102705613E-005	-0.0599531041	-0.2033677991	1394	11824	5	560	1448	8393	32767	130	83	152	835	57591	0.0026291438	-0.001686144	-0.0048445756	0.0097039756	0.007474543	-0.14415323	-0.01602221	0.14978241	-0.0001015749	-0.25283732	0.25005499	1425	12100	6	568	1480	8483	33057	136	86	157	851	58349	0.007351	0.003269	0.00514	0.001079	0.02218	-0.035077	0.021684	0.206302	0.001601	-0.242116	0.008586	1444	12406	6	576	1491	8582	33399	145	89	159	865	59162	0.012009	0.003045	-0.000317	0.000145	-0.016263	-0.032448	-0.001445	0.232254	-0.000141	-0.20046	0.003622	0.029214	0.007107	0.003333	0.016313	0.011086	-0.203697	0.016578	0.815243	0.001294	-0.755366	0.058895
26	Tyr	11362	12352	14775	117991	129661	144087	0	3	19	472	273	304	0	0	10	498	492	777	2181	2194	2738	6563	6574	6062	229	227	1083	1061	1017	1075	120	263	152	140477	153056	171082	-0.0179079823	0.5659607391	0.7216357377	-0.4937281076	0.0019600669	0.0091457186	-0.1576319755	-0.0006735198	0	0.0058451503	-0.0330554595	0.1327172045	-0.119105062	0.1669398842	-0.3767792372	-0.7518298424	-0.0147042807	0.4847180462	-0.0908211028	-0.0361090254	0.0864092953	-0.0829862476	1076	153	308	19	783	6118	15152	147244	11	2780	839	174483	-0.0116746662	-0.0011586585	-0.0011710735	-0.0002164725	-0.0054138568	-0.0369713133	0.0477310189	0.1677201893	0.0004591888	-0.0071237181	-0.152180638	15531	150698	11	20	792	6180	2820	1071	153	312	1138	178726	-0.01743769	-0.0020817262	-0.0019526	0.000301	-0.0056179	-0.04855186	0.0058975203	-0.07084258	-0.0001496666	-0.0154442	0.15587971	15805	154324	12	19	798	6204	2844	1069	151	314	1162	182702	-0.014135	-0.002958	-0.002704	-0.000791	-0.00636	-0.062113	-0.039139	0.149709	0.000413	-0.021201	-0.00072	16198	157735	14	19	806	6248	2874	1074	148	316	1186	186618	-0.009599	-0.003342	-0.002535	-0.000218	-0.004879	-0.047678	0.029064	0.055326	0.000934	-0.016589	-0.000486	-0.052846	-0.00954	-0.008363	-0.000925	-0.02227	-0.195314	0.043553	0.301912	0.001657	-0.060358	0.002493
25	Saida-Zahrani	43250	48007	51059	68477	71668	79598	81	75	74	540	610	627	0	1	8	363	366	1016	11170	11468	12444	13874	14210	13173	135	160	1058	196	201	321	43	48	78	138129	146814	159456	1.3878871825	-0.6784520894	-0.7591648928	1.1029647497	-0.0075557894	-0.0046772599	0.0245528057	-0.0222797901	0.000681134	0.004335924	-0.0135027931	0.3878713393	-0.2753994854	-0.0072104446	-0.365320558	-1.4177003305	0.0112467061	0.5545244878	-0.004988419	0.0644015278	0.0015641095	0.0162218858	318	78	625	77	1034	13249	52132	81434	9	12557	908	162421	-0.0055219616	-0.0008929687	-0.0084094627	0.0009998763	-0.0005491794	-0.104016703	0.0760892341	0.2191325514	0.0005240974	-0.0728905743	-0.1044649094	53259	83460	9	77	1050	13344	12679	318	77	629	1093	165995	-0.0042154552	-0.0016364074	-0.0058753817	-0.0010207234	-0.004068013	-0.11840007	-0.01213342	0.14101749	-0.0001193053	-0.09296127	0.09941256	54352	85667	9	84	1063	13466	12827	316	80	631	1110	169605	-0.005257	0.000781	-0.006886	0.00314	-0.005799	-0.099172	-0.038476	0.231091	-0.000115	-0.075315	-0.003992	55384	87565	9	86	1071	13521	12895	315	79	629	1132	172686	-0.003903	-0.001421	-0.007796	0.000275	-0.00655	-0.109806	0.02586	0.197929	-0.000095	-0.095556	0.001063	-0.018897	-0.003169	-0.028967	0.003394	-0.016966	-0.431395	0.051339	0.78917	0.000195	-0.336723	-0.007981
4	Nabatiyeh	818	1010	2813	101960	116044	123989	2	27	13	0	0	50	5	7	21	36	43	216	3506	3685	3856	1006	1072	1051	3	4	590	0	9	14	9	9	15	107345	121910	132628	0.0664510542	1.2924899047	0.2047890995	-1.7019611425	0.0202843343	-0.0123456341	0	0.03769943	0.001084062	0.0100918198	0.0017351945	0.1275896156	-0.243382936	-0.1153416395	-0.057827999	-0.0868951977	0.0004863817	0.4415721648	0.0073824953	0.0031733451	-0.0010016866	0.0039273337	14	17	50	13	224	1057	2892	126769	22	3922	571	135551	-0.0002276244	0.0012315761	-0.0008129445	-0.0002113656	0.0023899176	-0.0126617142	0.0125443921	0.0349651944	0.000396293	-0.0140041155	-0.0236096091	2961	129566	22	16	225	1057	3957	13	17	51	629	138514	-0.0009428831	-0.0002682775	-0.0000671	0.0019606927	-0.002813	-0.01668055	0.00417573	0.01874549	-0.0003471826	-0.03662498	0.03286206	3048	132618	21	17	233	1065	4004	13	17	51	649	141736	-0.000213	-0.000279	-0.000837	0.000443	0.001952	-0.011703	0.012787	0.02691	-0.001067	-0.031781	0.003788	3152	135307	21	17	241	1074	4028	15	18	52	662	144587	0.001202	0.000455	-0.000018	-0.000237	0.002292	-0.008592	0.029525	0.014806	-0.000292	-0.039104	-0.000038	-0.000181	0.001139	-0.001735	0.001956	0.00382	-0.049637	0.059032	0.095426	-0.00131	-0.121514	0.013003
1	Bent-Jbel	187	191	1812	94946	108407	116201	0	1	13	40	42	68	0	0	8	0	4	271	10756	11660	11900	2853	3020	3040	0	1	550	45	47	66	16	21	45	108843	123394	133974	-0.0170183728	1.197712506	0.6222845155	-1.1203595609	0.0008104122	0.0088929631	-0.0027128701	0.0167188055	0	0.0059713079	0.0032416487	0.1990364052	-0.4327178251	-0.5670855176	-0.1737619218	-0.1783477814	0.0008104122	0.4097170036	-0.0032545819	0.0111739176	0.0023185831	0.0165699511	65	45	67	15	288	3069	1844	118918	9	12107	537	136964	-0.0018055638	-0.0007332579	-0.001838153	0.0012484077	0.0079961787	-0.0283621973	-0.0061620476	0.0902818291	0.0005997619	-0.0427713716	-0.0184535861	1911	121724	10	15	290	3096	12242	67	45	71	601	140072	0.0003748171	-0.0007290138	0.0017702536	-0.000243	-0.0032378514	-0.03044294	0.01795918	0.07674734	0.0005681158	-0.09975811	0.03699122	1955	124510	10	15	303	3103	12398	68	45	73	613	143093	-0.000311	-0.000678	0.000328	-0.000226	0.004714	-0.041772	0.001946	0.112319	-0.000151	-0.075496	-0.000672	2030	127449	11	16	317	3124	12585	70	45	75	628	146350	0.000309	-0.0007	0.000231	0.00045	0.004854	-0.033911	0.020841	0.071729	0.000528	-0.065047	0.000716	-0.001433	-0.00284	0.000491	0.001229	0.014326	-0.134488	0.034585	0.351077	0.001545	-0.283072	0.018581
2	Marjayoun-Hasbaya	20821	23336	25385	69161	78725	83820	12817	14333	15082	1246	1254	1227	0	0	7	10319	10785	9822	6030	6358	7226	3550	3644	3844	282	300	945	66	61	101	34	30	51	124326	138826	147510	0.0624309906	0.3994714237	1.0789270151	0.115588983	0.0152477671	-0.1000433375	-0.0989148741	-0.0714809962	0	0.004745441	-0.5312356731	-1.1101860504	-0.270318271	0.3188171902	-0.2305277564	-0.0189435184	-0.0107251807	0.4245366841	-0.009146345	0.0245300383	-0.0057376726	0.0129641423	102	51	1215	15507	9795	3880	25980	85659	7	7326	683	150205	-0.0005627407	-0.0006203304	-0.0229135022	0.0994991161	-0.1374437784	-0.0227886418	0.0873588596	0.2047954298	-8.5143393762554E-005	-0.0213166291	-0.1859226395	26504	87744	8	15754	9811	3911	7403	101	50	1216	988	153490	-0.0021048611	-0.0013781847	-0.01666049	-0.06002984	-0.12914049	-0.03508765	-0.0287872	0.1378775	0.0005517683	-0.0542188	0.18897825	27109	90093	6	16026	9806	3928	7458	100	52	1202	1009	156789	-0.002022	0.00059	-0.025599	-0.042481	-0.137682	-0.042771	0.022542	0.295362	-0.001385	-0.066404	-0.00015	27691	92052	7	16326	9848	3944	7516	101	54	1191	1027	159757	-0.000559	0.000636	-0.021128	-0.00211	-0.089903	-0.036528	0.043084	0.158709	0.000555	-0.052066	-0.000689	-0.005249	-0.000773	-0.086301	-0.005121	-0.494169	-0.137176	0.124197	0.796744	-0.000364	-0.194006	0.002217
5	Beirut	180934	199858	207835	56871	63928	71913	4793	5154	5175	7161	4225	3754	97	122	162	41657	42365	39472	24376	24700	28429	19272	19688	19701	21111	21612	31458	48169	47912	45210	9056	11761	8335	413497	441325	461444	1.5288719466	-0.2457655326	0.731802997	1.098869703	0.0087090319	-0.0463672954	-0.7744698967	-0.1438111909	0.0041855734	0.0074631588	-0.4748158458	-1.0454841123	-0.2983026747	0.5640951764	-0.1996237186	-0.1916876171	-0.2084070759	1.9202239538	-0.7927792781	-1.0588931232	0.474828941	-0.8586431205	44800	8282	3770	5205	39506	19709	211862	73517	163	28534	25574	460922	-0.0778563451	-0.0094530496	0.0043926398	0.0077787832	0.0170640522	0.0065708281	0.9246921397	0.3656476047	0.0002567158	0.0297576989	-1.2688510678	215096	74929	160	5232	39546	19669	28461	44321	8260	3771	31322	470767	-0.30501276	-0.04224983	-0.0168926	-0.0178805	-0.17074752	-0.09791928	-0.27428372	-0.03362093	-0.0013768119	-0.14496939	1.10495334	218967	76536	159	5267	39605	19704	28564	44004	8171	3773	31271	476021	-0.170506	-0.038063	-0.008421	-0.004914	-0.080323	-0.038762	0.308898	0.161916	-0.000585	-0.04509	-0.08415	222675	78105	161	5299	39602	19736	28625	43714	8140	3782	31244	481083	-0.157548	-0.024505	-0.006469	-0.004991	-0.088168	-0.036903	0.286751	0.156962	0.000064	-0.050459	-0.074735	-0.710923	-0.114271	-0.02739	-0.020006	-0.322174	-0.167013	1.246057	0.650905	-0.001641	-0.210761	-0.322782
