"Year","Confession","Gender","Town","District","Governorate"
"1975-1979","شيعي","ذكر","البستان","الهرمل","البقاع"
"1965-1969","شيعي","ذكر","البستان","الهرمل","البقاع"
"1985-1989","شيعي","ذكر","البستان","الهرمل","البقاع"
"1980-1984","شيعي","ذكر","البستان","الهرمل","البقاع"
"1985-1989","شيعي","ذكر","البستان","الهرمل","البقاع"
"1985-1989","شيعي","ذكر","البستان","الهرمل","البقاع"
"1980-1984","شيعي","ذكر","البستان","الهرمل","البقاع"
"1930-1934","شيعي","ذكر","البستان","الهرمل","البقاع"
"1935-1939","شيعي","ذكر","البستان","الهرمل","البقاع"
"1975-1979","شيعي","ذكر","البستان","الهرمل","البقاع"
"1980-1984","شيعي","ذكر","البستان","الهرمل","البقاع"
"1985-1989","شيعي","ذكر","البستان","الهرمل","البقاع"
"1970-1974","شيعي","ذكر","البستان","الهرمل","البقاع"
"1985-1989","شيعي","ذكر","البستان","الهرمل","البقاع"
"1985-1989","شيعي","ذكر","البستان","الهرمل","البقاع"
"1935-1939","شيعي","ذكر","البستان","الهرمل","البقاع"
"1980-1984","شيعي","ذكر","البستان","الهرمل","البقاع"
"1935-1939","شيعي","ذكر","البستان","الهرمل","البقاع"
"1970-1974","شيعي","ذكر","البستان","الهرمل","البقاع"
"1985-1989","شيعي","ذكر","البستان","الهرمل","البقاع"
"1980-1984","شيعي","ذكر","البستان","الهرمل","البقاع"
"1930-1934","شيعي","ذكر","البستان","الهرمل","البقاع"
"1985-1989","شيعي","ذكر","البستان","الهرمل","البقاع"
"1985-1989","شيعي","ذكر","البستان","الهرمل","البقاع"
"1935-1939","شيعي","ذكر","البستان","الهرمل","البقاع"
"1980-1984","شيعي","ذكر","البستان","الهرمل","البقاع"
"1980-1984","شيعي","ذكر","البستان","الهرمل","البقاع"
"1985-1989","شيعي","ذكر","البستان","الهرمل","البقاع"
"1980-1984","شيعي","ذكر","البستان","الهرمل","البقاع"
"1980-1984","شيعي","ذكر","البستان","الهرمل","البقاع"
"1920-1924","شيعي","ذكر","البستان","الهرمل","البقاع"
"1980-1984","شيعي","ذكر","البستان","الهرمل","البقاع"
"1975-1979","شيعي","ذكر","البستان","الهرمل","البقاع"
"1980-1984","شيعي","ذكر","البستان","الهرمل","البقاع"
"1985-1989","شيعي","ذكر","البستان","الهرمل","البقاع"
"1985-1989","شيعي","ذكر","البستان","الهرمل","البقاع"
"1985-1989","شيعي","ذكر","البستان","الهرمل","البقاع"
"1985-1989","شيعي","ذكر","البستان","الهرمل","البقاع"
"1985-1989","شيعي","ذكر","البستان","الهرمل","البقاع"
"1985-1989","شيعي","ذكر","البستان","الهرمل","البقاع"
"1980-1984","شيعي","ذكر","البستان","الهرمل","البقاع"
"1985-1989","شيعي","ذكر","البستان","الهرمل","البقاع"
"1980-1984","شيعي","ذكر","البستان","الهرمل","البقاع"
"1980-1984","شيعي","ذكر","البستان","الهرمل","البقاع"
"1985-1989","شيعي","ذكر","البستان","الهرمل","البقاع"
"1985-1989","شيعي","ذكر","البستان","الهرمل","البقاع"
"1985-1989","شيعي","ذكر","البستان","الهرمل","البقاع"
"1985-1989","شيعي","ذكر","البستان","الهرمل","البقاع"
"1975-1979","شيعي","ذكر","البستان","الهرمل","البقاع"
"1930-1934","شيعي","ذكر","البستان","الهرمل","البقاع"
"1930-1934","شيعي","ذكر","البستان","الهرمل","البقاع"
"1980-1984","شيعي","ذكر","البستان","الهرمل","البقاع"
"1930-1934","شيعي","ذكر","البستان","الهرمل","البقاع"
"1965-1969","شيعي","ذكر","البستان","الهرمل","البقاع"
"1950-1954","شيعي","ذكر","البستان","الهرمل","البقاع"
"1950-1954","شيعي","ذكر","البستان","الهرمل","البقاع"
"1975-1979","شيعي","ذكر","البستان","الهرمل","البقاع"
"1975-1979","شيعي","ذكر","البستان","الهرمل","البقاع"
"1950-1954","شيعي","ذكر","البستان","الهرمل","البقاع"
"1960-1964","شيعي","ذكر","البستان","الهرمل","البقاع"
"1950-1954","شيعي","ذكر","البستان","الهرمل","البقاع"
"1980-1984","شيعي","ذكر","البستان","الهرمل","البقاع"
"1950-1954","شيعي","ذكر","البستان","الهرمل","البقاع"
"1965-1969","شيعي","ذكر","البستان","الهرمل","البقاع"
"1980-1984","شيعي","ذكر","البستان","الهرمل","البقاع"
"1945-1949","شيعي","ذكر","البستان","الهرمل","البقاع"
"1960-1964","شيعي","ذكر","البستان","الهرمل","البقاع"
"1940-1944","شيعي","ذكر","البستان","الهرمل","البقاع"
"1965-1969","شيعي","ذكر","البستان","الهرمل","البقاع"
"1960-1964","شيعي","ذكر","البستان","الهرمل","البقاع"
"1960-1964","شيعي","ذكر","البستان","الهرمل","البقاع"
"1955-1959","شيعي","ذكر","البستان","الهرمل","البقاع"
"1930-1934","شيعي","ذكر","البستان","الهرمل","البقاع"
"1960-1964","شيعي","ذكر","البستان","الهرمل","البقاع"
"1970-1974","شيعي","ذكر","البستان","الهرمل","البقاع"
"1965-1969","شيعي","ذكر","البستان","الهرمل","البقاع"
"1945-1949","شيعي","ذكر","البستان","الهرمل","البقاع"
"1950-1954","شيعي","ذكر","البستان","الهرمل","البقاع"
"1960-1964","شيعي","ذكر","البستان","الهرمل","البقاع"
"1955-1959","شيعي","ذكر","البستان","الهرمل","البقاع"
"1955-1959","شيعي","ذكر","البستان","الهرمل","البقاع"
"1960-1964","شيعي","ذكر","البستان","الهرمل","البقاع"
"1980-1984","شيعي","ذكر","البستان","الهرمل","البقاع"
"1950-1954","شيعي","ذكر","البستان","الهرمل","البقاع"
"1970-1974","شيعي","ذكر","البستان","الهرمل","البقاع"
"1975-1979","شيعي","ذكر","البستان","الهرمل","البقاع"
"1970-1974","شيعي","ذكر","البستان","الهرمل","البقاع"
"1980-1984","شيعي","ذكر","البستان","الهرمل","البقاع"
"1970-1974","شيعي","ذكر","البستان","الهرمل","البقاع"
"1945-1949","شيعي","ذكر","البستان","الهرمل","البقاع"
"1975-1979","شيعي","ذكر","البستان","الهرمل","البقاع"
"1950-1954","شيعي","ذكر","البستان","الهرمل","البقاع"
"1975-1979","شيعي","ذكر","البستان","الهرمل","البقاع"
"1965-1969","شيعي","ذكر","البستان","الهرمل","البقاع"
"1960-1964","شيعي","ذكر","البستان","الهرمل","البقاع"
"1970-1974","شيعي","ذكر","البستان","الهرمل","البقاع"
"1960-1964","شيعي","ذكر","البستان","الهرمل","البقاع"
"1955-1959","شيعي","ذكر","البستان","الهرمل","البقاع"
"1970-1974","شيعي","ذكر","البستان","الهرمل","البقاع"
"1955-1959","شيعي","ذكر","البستان","الهرمل","البقاع"
"1935-1939","شيعي","ذكر","البستان","الهرمل","البقاع"
"1945-1949","شيعي","ذكر","البستان","الهرمل","البقاع"
"1985-1989","شيعي","ذكر","البستان","الهرمل","البقاع"
"1960-1964","شيعي","ذكر","البستان","الهرمل","البقاع"
"1975-1979","شيعي","ذكر","البستان","الهرمل","البقاع"
"1975-1979","شيعي","ذكر","البستان","الهرمل","البقاع"
"1940-1944","شيعي","ذكر","البستان","الهرمل","البقاع"
"1955-1959","شيعي","ذكر","البستان","الهرمل","البقاع"
"1970-1974","شيعي","ذكر","البستان","الهرمل","البقاع"
"1935-1939","شيعي","ذكر","البستان","الهرمل","البقاع"
"1970-1974","شيعي","ذكر","البستان","الهرمل","البقاع"
"1955-1959","شيعي","ذكر","البستان","الهرمل","البقاع"
"1960-1964","شيعي","ذكر","البستان","الهرمل","البقاع"
"1965-1969","شيعي","ذكر","البستان","الهرمل","البقاع"
"1970-1974","شيعي","ذكر","البستان","الهرمل","البقاع"
"1950-1954","شيعي","ذكر","البستان","الهرمل","البقاع"
"1980-1984","شيعي","ذكر","البستان","الهرمل","البقاع"
"1980-1984","شيعي","ذكر","البستان","الهرمل","البقاع"
"1935-1939","شيعي","ذكر","البستان","الهرمل","البقاع"
"1970-1974","شيعي","ذكر","البستان","الهرمل","البقاع"
"1970-1974","شيعي","ذكر","البستان","الهرمل","البقاع"
"1955-1959","شيعي","ذكر","البستان","الهرمل","البقاع"
"1965-1969","شيعي","ذكر","البستان","الهرمل","البقاع"
"1975-1979","شيعي","ذكر","البستان","الهرمل","البقاع"
"1965-1969","شيعي","ذكر","البستان","الهرمل","البقاع"
"1965-1969","شيعي","ذكر","البستان","الهرمل","البقاع"
"1955-1959","شيعي","ذكر","البستان","الهرمل","البقاع"
"1980-1984","شيعي","ذكر","البستان","الهرمل","البقاع"
"1970-1974","شيعي","ذكر","البستان","الهرمل","البقاع"
"1980-1984","شيعي","ذكر","البستان","الهرمل","البقاع"
"1985-1989","شيعي","ذكر","البستان","الهرمل","البقاع"
"1960-1964","شيعي","ذكر","البستان","الهرمل","البقاع"
"1960-1964","شيعي","ذكر","البستان","الهرمل","البقاع"
"1940-1944","شيعي","ذكر","البستان","الهرمل","البقاع"
"1970-1974","شيعي","ذكر","البستان","الهرمل","البقاع"
"1955-1959","شيعي","ذكر","البستان","الهرمل","البقاع"
"1975-1979","شيعي","ذكر","البستان","الهرمل","البقاع"
"1975-1979","شيعي","ذكر","البستان","الهرمل","البقاع"
"1965-1969","شيعي","ذكر","البستان","الهرمل","البقاع"
"1975-1979","شيعي","ذكر","البستان","الهرمل","البقاع"
"1985-1989","شيعي","ذكر","البستان","الهرمل","البقاع"
"1970-1974","شيعي","ذكر","البستان","الهرمل","البقاع"
"1970-1974","شيعي","ذكر","البستان","الهرمل","البقاع"
"1940-1944","شيعي","ذكر","البستان","الهرمل","البقاع"
"1975-1979","شيعي","ذكر","البستان","الهرمل","البقاع"
"1965-1969","شيعي","ذكر","البستان","الهرمل","البقاع"
"1950-1954","شيعي","ذكر","البستان","الهرمل","البقاع"
"1960-1964","شيعي","ذكر","البستان","الهرمل","البقاع"
"1960-1964","شيعي","ذكر","البستان","الهرمل","البقاع"
"1975-1979","شيعي","ذكر","البستان","الهرمل","البقاع"
"1980-1984","شيعي","ذكر","البستان","الهرمل","البقاع"
"1960-1964","شيعي","ذكر","البستان","الهرمل","البقاع"
"1945-1949","شيعي","ذكر","البستان","الهرمل","البقاع"
"1975-1979","شيعي","ذكر","البستان","الهرمل","البقاع"
"1965-1969","شيعي","ذكر","البستان","الهرمل","البقاع"
"1975-1979","شيعي","ذكر","البستان","الهرمل","البقاع"
"1965-1969","شيعي","ذكر","البستان","الهرمل","البقاع"
"1975-1979","شيعي","ذكر","البستان","الهرمل","البقاع"
"1945-1949","شيعي","ذكر","البستان","الهرمل","البقاع"
"1960-1964","شيعي","ذكر","البستان","الهرمل","البقاع"
"1955-1959","شيعي","ذكر","البستان","الهرمل","البقاع"
"1960-1964","شيعي","ذكر","البستان","الهرمل","البقاع"
"1960-1964","شيعي","ذكر","البستان","الهرمل","البقاع"
"1950-1954","شيعي","ذكر","البستان","الهرمل","البقاع"
"1970-1974","شيعي","ذكر","البستان","الهرمل","البقاع"
"1970-1974","شيعي","ذكر","البستان","الهرمل","البقاع"
"1960-1964","شيعي","ذكر","البستان","الهرمل","البقاع"
"1965-1969","شيعي","ذكر","البستان","الهرمل","البقاع"
"1965-1969","شيعي","ذكر","البستان","الهرمل","البقاع"
"1930-1934","شيعي","ذكر","البستان","الهرمل","البقاع"
"1930-1934","شيعي","ذكر","البستان","الهرمل","البقاع"
"1960-1964","شيعي","ذكر","البستان","الهرمل","البقاع"
"1960-1964","شيعي","ذكر","البستان","الهرمل","البقاع"
"1950-1954","شيعي","ذكر","البستان","الهرمل","البقاع"
"1965-1969","شيعي","ذكر","البستان","الهرمل","البقاع"
"1975-1979","شيعي","ذكر","البستان","الهرمل","البقاع"
"1975-1979","شيعي","ذكر","البستان","الهرمل","البقاع"
"1965-1969","شيعي","ذكر","البستان","الهرمل","البقاع"
"1935-1939","شيعي","ذكر","البستان","الهرمل","البقاع"
"1975-1979","شيعي","ذكر","البستان","الهرمل","البقاع"
"1960-1964","شيعي","ذكر","البستان","الهرمل","البقاع"
"1965-1969","شيعي","ذكر","البستان","الهرمل","البقاع"
"1945-1949","شيعي","ذكر","البستان","الهرمل","البقاع"
"1975-1979","شيعي","ذكر","البستان","الهرمل","البقاع"
"1955-1959","شيعي","ذكر","البستان","الهرمل","البقاع"
"1955-1959","شيعي","ذكر","البستان","الهرمل","البقاع"
"1980-1984","شيعي","ذكر","البستان","الهرمل","البقاع"
"1970-1974","شيعي","ذكر","البستان","الهرمل","البقاع"
"1965-1969","شيعي","ذكر","البستان","الهرمل","البقاع"
"1975-1979","شيعي","ذكر","البستان","الهرمل","البقاع"
"1970-1974","شيعي","ذكر","البستان","الهرمل","البقاع"
"1965-1969","شيعي","ذكر","البستان","الهرمل","البقاع"
"1975-1979","شيعي","ذكر","البستان","الهرمل","البقاع"
"1980-1984","شيعي","ذكر","البستان","الهرمل","البقاع"
"1985-1989","شيعي","ذكر","البستان","الهرمل","البقاع"
"1985-1989","شيعي","ذكر","البستان","الهرمل","البقاع"
"1985-1989","شيعي","ذكر","البستان","الهرمل","البقاع"
"1985-1989","شيعي","ذكر","البستان","الهرمل","البقاع"
"1985-1989","شيعي","ذكر","البستان","الهرمل","البقاع"
"1985-1989","شيعي","ذكر","البستان","الهرمل","البقاع"
"1985-1989","شيعي","ذكر","البستان","الهرمل","البقاع"
"1985-1989","شيعي","ذكر","البستان","الهرمل","البقاع"
"1985-1989","شيعي","ذكر","البستان","الهرمل","البقاع"
"1985-1989","شيعي","ذكر","البستان","الهرمل","البقاع"
"1990-1994","شيعي","ذكر","البستان","الهرمل","البقاع"
"1990-1994","شيعي","ذكر","البستان","الهرمل","البقاع"
"1990-1994","شيعي","ذكر","البستان","الهرمل","البقاع"
"1990-1994","شيعي","ذكر","البستان","الهرمل","البقاع"
"1990-1994","شيعي","ذكر","البستان","الهرمل","البقاع"
"1990-1994","شيعي","ذكر","البستان","الهرمل","البقاع"
"1990-1994","شيعي","ذكر","البستان","الهرمل","البقاع"
"1990-1994","شيعي","ذكر","البستان","الهرمل","البقاع"
"1990-1994","شيعي","ذكر","البستان","الهرمل","البقاع"
"1990-1994","شيعي","ذكر","البستان","الهرمل","البقاع"
"1990-1994","شيعي","ذكر","البستان","الهرمل","البقاع"
"1990-1994","شيعي","ذكر","البستان","الهرمل","البقاع"
"1990-1994","شيعي","ذكر","البستان","الهرمل","البقاع"
"1990-1994","شيعي","ذكر","البستان","الهرمل","البقاع"
"1990-1994","شيعي","ذكر","البستان","الهرمل","البقاع"
"1980-1984","شيعي","ذكر","البستان","الهرمل","البقاع"
"1975-1979","شيعي","ذكر","البستان","الهرمل","البقاع"
"1960-1964","شيعي","ذكر","البستان","الهرمل","البقاع"
"1950-1954","شيعي","ذكر","البستان","الهرمل","البقاع"
"1980-1984","شيعي","ذكر","البستان","الهرمل","البقاع"
"1985-1989","شيعي","ذكر","البستان","الهرمل","البقاع"
"1980-1984","شيعي","ذكر","البستان","الهرمل","البقاع"
"1970-1974","شيعي","ذكر","البستان","الهرمل","البقاع"
"1980-1984","شيعي","ذكر","البستان","الهرمل","البقاع"
"1975-1979","شيعي","ذكر","البستان","الهرمل","البقاع"
"1985-1989","شيعي","ذكر","البستان","الهرمل","البقاع"
"1970-1974","شيعي","ذكر","البستان","الهرمل","البقاع"
"1980-1984","شيعي","ذكر","البستان","الهرمل","البقاع"
"1985-1989","شيعي","ذكر","البستان","الهرمل","البقاع"
"1975-1979","شيعي","ذكر","البستان","الهرمل","البقاع"
"1975-1979","شيعي","ذكر","البستان","الهرمل","البقاع"
"1980-1984","شيعي","ذكر","البستان","الهرمل","البقاع"
"1950-1954","شيعي","ذكر","البستان","الهرمل","البقاع"
"1965-1969","شيعي","اناث","البستان","الهرمل","البقاع"
"1920-1924","شيعي","اناث","البستان","الهرمل","البقاع"
"1970-1974","شيعي","اناث","البستان","الهرمل","البقاع"
"1945-1949","شيعي","اناث","البستان","الهرمل","البقاع"
"1965-1969","شيعي","اناث","البستان","الهرمل","البقاع"
"1965-1969","شيعي","اناث","البستان","الهرمل","البقاع"
"1925-1929","شيعي","اناث","البستان","الهرمل","البقاع"
"1965-1969","شيعي","اناث","البستان","الهرمل","البقاع"
"1950-1954","شيعي","اناث","البستان","الهرمل","البقاع"
"1960-1964","شيعي","اناث","البستان","الهرمل","البقاع"
"1965-1969","شيعي","اناث","البستان","الهرمل","البقاع"
"1925-1929","شيعي","اناث","البستان","الهرمل","البقاع"
"1960-1964","شيعي","اناث","البستان","الهرمل","البقاع"
"1960-1964","شيعي","اناث","البستان","الهرمل","البقاع"
"1945-1949","شيعي","اناث","البستان","الهرمل","البقاع"
"1960-1964","شيعي","اناث","البستان","الهرمل","البقاع"
"1960-1964","شيعي","اناث","البستان","الهرمل","البقاع"
"1935-1939","شيعي","اناث","البستان","الهرمل","البقاع"
"1970-1974","شيعي","اناث","البستان","الهرمل","البقاع"
"1955-1959","شيعي","اناث","البستان","الهرمل","البقاع"
"1960-1964","شيعي","اناث","البستان","الهرمل","البقاع"
"1945-1949","شيعي","اناث","البستان","الهرمل","البقاع"
"1960-1964","شيعي","اناث","البستان","الهرمل","البقاع"
"1965-1969","شيعي","اناث","البستان","الهرمل","البقاع"
"1965-1969","شيعي","اناث","البستان","الهرمل","البقاع"
"1975-1979","شيعي","اناث","البستان","الهرمل","البقاع"
"1985-1989","شيعي","اناث","البستان","الهرمل","البقاع"
"1985-1989","شيعي","اناث","البستان","الهرمل","البقاع"
"1975-1979","شيعي","اناث","البستان","الهرمل","البقاع"
"1970-1974","شيعي","اناث","البستان","الهرمل","البقاع"
"1925-1929","شيعي","اناث","البستان","الهرمل","البقاع"
"1980-1984","شيعي","اناث","البستان","الهرمل","البقاع"
"1980-1984","شيعي","اناث","البستان","الهرمل","البقاع"
"1925-1929","شيعي","اناث","البستان","الهرمل","البقاع"
"1915-1919","شيعي","اناث","البستان","الهرمل","البقاع"
"1920-1924","شيعي","اناث","البستان","الهرمل","البقاع"
"1955-1959","شيعي","اناث","البستان","الهرمل","البقاع"
"1925-1929","شيعي","اناث","البستان","الهرمل","البقاع"
"1935-1939","شيعي","اناث","البستان","الهرمل","البقاع"
"1925-1929","شيعي","اناث","البستان","الهرمل","البقاع"
"1925-1929","شيعي","اناث","البستان","الهرمل","البقاع"
"1970-1974","شيعي","اناث","البستان","الهرمل","البقاع"
"1975-1979","شيعي","اناث","البستان","الهرمل","البقاع"
"1965-1969","شيعي","اناث","البستان","الهرمل","البقاع"
"1970-1974","شيعي","اناث","البستان","الهرمل","البقاع"
"1970-1974","شيعي","اناث","البستان","الهرمل","البقاع"
"1925-1929","شيعي","اناث","البستان","الهرمل","البقاع"
"1940-1944","شيعي","اناث","البستان","الهرمل","البقاع"
"1950-1954","شيعي","اناث","البستان","الهرمل","البقاع"
"1960-1964","شيعي","اناث","البستان","الهرمل","البقاع"
"1960-1964","شيعي","اناث","البستان","الهرمل","البقاع"
"1960-1964","شيعي","اناث","البستان","الهرمل","البقاع"
"1980-1984","شيعي","اناث","البستان","الهرمل","البقاع"
"1985-1989","شيعي","اناث","البستان","الهرمل","البقاع"
"1985-1989","شيعي","اناث","البستان","الهرمل","البقاع"
"1985-1989","شيعي","اناث","البستان","الهرمل","البقاع"
"1985-1989","شيعي","اناث","البستان","الهرمل","البقاع"
"1985-1989","شيعي","اناث","البستان","الهرمل","البقاع"
"1985-1989","شيعي","اناث","البستان","الهرمل","البقاع"
"1990-1994","شيعي","اناث","البستان","الهرمل","البقاع"
"1990-1994","شيعي","اناث","البستان","الهرمل","البقاع"
"1990-1994","شيعي","اناث","البستان","الهرمل","البقاع"
"1990-1994","شيعي","اناث","البستان","الهرمل","البقاع"
"1950-1954","شيعي","اناث","البستان","الهرمل","البقاع"
"1985-1989","شيعي","اناث","البستان","الهرمل","البقاع"
"1985-1989","شيعي","اناث","البستان","الهرمل","البقاع"
"1980-1984","شيعي","اناث","البستان","الهرمل","البقاع"
"1960-1964","شيعي","اناث","البستان","الهرمل","البقاع"
"1955-1959","شيعي","اناث","البستان","الهرمل","البقاع"
"1975-1979","شيعي","اناث","البستان","الهرمل","البقاع"
"1945-1949","شيعي","اناث","البستان","الهرمل","البقاع"
"1975-1979","شيعي","اناث","البستان","الهرمل","البقاع"
"1970-1974","شيعي","اناث","البستان","الهرمل","البقاع"
"1970-1974","شيعي","اناث","البستان","الهرمل","البقاع"
"1985-1989","شيعي","اناث","البستان","الهرمل","البقاع"
"1985-1989","شيعي","اناث","البستان","الهرمل","البقاع"
"1985-1989","شيعي","اناث","البستان","الهرمل","البقاع"
"1980-1984","شيعي","اناث","البستان","الهرمل","البقاع"
"1985-1989","شيعي","اناث","البستان","الهرمل","البقاع"
"1980-1984","شيعي","اناث","البستان","الهرمل","البقاع"
"1985-1989","شيعي","اناث","البستان","الهرمل","البقاع"
"1930-1934","شيعي","اناث","البستان","الهرمل","البقاع"
"1985-1989","شيعي","اناث","البستان","الهرمل","البقاع"
"1930-1934","شيعي","اناث","البستان","الهرمل","البقاع"
"1955-1959","شيعي","اناث","البستان","الهرمل","البقاع"
"1980-1984","شيعي","اناث","البستان","الهرمل","البقاع"
"1955-1959","شيعي","اناث","البستان","الهرمل","البقاع"
"1930-1934","شيعي","اناث","البستان","الهرمل","البقاع"
"1985-1989","شيعي","اناث","البستان","الهرمل","البقاع"
"1935-1939","شيعي","اناث","البستان","الهرمل","البقاع"
"1985-1989","شيعي","اناث","البستان","الهرمل","البقاع"
"1925-1929","شيعي","اناث","البستان","الهرمل","البقاع"
"1980-1984","شيعي","اناث","البستان","الهرمل","البقاع"
"1980-1984","شيعي","اناث","البستان","الهرمل","البقاع"
"1930-1934","شيعي","اناث","البستان","الهرمل","البقاع"
"1985-1989","شيعي","اناث","البستان","الهرمل","البقاع"
"1985-1989","شيعي","اناث","البستان","الهرمل","البقاع"
"1985-1989","شيعي","اناث","البستان","الهرمل","البقاع"
"1920-1924","شيعي","اناث","البستان","الهرمل","البقاع"
"1985-1989","شيعي","اناث","البستان","الهرمل","البقاع"
"1980-1984","شيعي","اناث","البستان","الهرمل","البقاع"
"1985-1989","شيعي","اناث","البستان","الهرمل","البقاع"
"1985-1989","شيعي","اناث","البستان","الهرمل","البقاع"
"1985-1989","شيعي","اناث","البستان","الهرمل","البقاع"
"1985-1989","شيعي","اناث","البستان","الهرمل","البقاع"
"1985-1989","شيعي","اناث","البستان","الهرمل","البقاع"
"1985-1989","شيعي","اناث","البستان","الهرمل","البقاع"
"1930-1934","شيعي","اناث","البستان","الهرمل","البقاع"
"1925-1929","شيعي","اناث","البستان","الهرمل","البقاع"
"1930-1934","شيعي","اناث","البستان","الهرمل","البقاع"
"1925-1929","شيعي","اناث","البستان","الهرمل","البقاع"
